env_name,seed,calibration_beta,validation_gate_method,mean_bon_validation_return,posterior_sample_bon_validation_return,pessimistic_bon_validation_return,quantile_bon_validation_return,calibrated_pessimistic_bon_validation_return,train_transitions,calibration_problems,calibration_candidates
Pendulum-v1,0,4.0,calibrated_pessimistic_bon,-0.8159893936388192,-0.8158645678089359,-0.8159893936388192,-0.81552505237403,-0.8159893936388192,900,5,48
Pendulum-v1,1,4.0,calibrated_pessimistic_bon,-0.3648719081700801,-0.365462252883612,-0.3648719081700801,-0.3648719081700801,-0.36521233813140463,900,5,48
Pendulum-v1,2,4.0,calibrated_pessimistic_bon,-0.7625898498931607,-0.7621126305985434,-0.7630508029980547,-0.7630508029980547,-0.7624525151931605,900,5,48
MountainCarContinuous-v0,0,4.0,calibrated_pessimistic_bon,-0.034802352541725194,-0.034802352541725194,-0.034802352541725194,-0.034802352541725194,-0.034802352541725194,900,5,48
MountainCarContinuous-v0,1,4.0,calibrated_pessimistic_bon,-0.029034920366533528,-0.020810393402952734,-0.029034920366533528,-0.029034920366533528,-0.020810393402952734,900,5,48
MountainCarContinuous-v0,2,4.0,calibrated_pessimistic_bon,-0.03323800926868142,-0.03323800926868142,-0.03323800926868142,-0.03323800926868142,-0.03323800926868142,900,5,48
