suite,condition,n_candidates,replicates,optimistic_miss_rate,mean_beta,mean_selected_std,mean_selected_ood
learned_bootstrap,eval_shift,128,72,0.8611111111111112,4.0,1.184952450458664,0.04296360947955688
posterior_stress,calibrated_shift,128,72,0.041666666666666664,1.5151060557326816,2.0714507833332956,0.17450898009867163
posterior_stress,gentle_actions,128,72,0.0,0.8550360648244191,2.789594612046878,0.13907488477072733
posterior_stress,hard_shift,128,72,0.125,0.9000274680596174,3.182576095625115,0.13377962856823458
posterior_stress,high_blindspot,128,72,0.0,1.1631826806671777,1.85458775100541,0.1475129928628022
posterior_stress,high_spread,128,72,0.0,0.720535963563307,3.5518078532650055,0.11253934749672588
posterior_stress,low_blindspot,128,72,0.013888888888888888,1.1485429278433772,2.40625193767079,0.16370540835654118
posterior_stress,low_spread,128,72,0.027777777777777776,1.6909756078579465,1.2210351249820495,0.18047751457524303
posterior_stress,nominal,128,72,0.09722222222222222,1.0398541468585918,2.1032373287717925,0.14267649421066078
posterior_stress,wide_actions,128,72,0.05555555555555555,1.1597516561146681,2.1805942589040366,0.1537688925472846
