env_name,seed,problem,n_candidates,method,selected_index,uses_truth,validation_gate_method,selected_true_return,regret_to_candidate_oracle,candidate_oracle_return,regret_to_full_pool_oracle,full_pool_oracle_return,selected_pred_mean,selected_pred_std,sample_over_mean,selected_action_ood_mass,selected_is_cem,calibration_beta
InvertedPendulum-v5,0,0,96,quantile_bon,71,False,,5.0,15.0,20.0,15.0,20.0,-1369.0951563490194,548.4525525322406,-296.32753088750746,0.525,0.0,4.0
InvertedPendulum-v5,0,0,96,calibrated_pessimistic_bon,71,False,,5.0,15.0,20.0,15.0,20.0,-1369.0951563490194,548.4525525322406,-296.32753088750746,0.525,0.0,4.0
InvertedPendulum-v5,0,0,96,validation_gated_bon,71,False,calibrated_pessimistic_bon,5.0,15.0,20.0,15.0,20.0,-1369.0951563490194,548.4525525322406,-296.32753088750746,0.525,0.0,4.0
InvertedPendulum-v5,0,0,96,cem_mean_mpc,-1,False,,7.0,13.0,20.0,13.0,20.0,-209.29807037058097,187.86927328196003,49.704821702407514,0.45,1.0,4.0
InvertedPendulum-v5,0,1,8,random,3,False,,3.0,6.0,9.0,17.0,20.0,-143359.49706155,15991.00355529865,-29747.780828834657,0.425,0.0,4.0
InvertedPendulum-v5,0,1,8,oracle,6,True,,9.0,0.0,9.0,11.0,20.0,-47938.169842878546,2727.231856990162,304.1310357208422,0.3,0.0,4.0
InvertedPendulum-v5,0,1,8,mean_bon,6,False,,9.0,0.0,9.0,11.0,20.0,-47938.169842878546,2727.231856990162,304.1310357208422,0.3,0.0,4.0
InvertedPendulum-v5,0,1,8,posterior_sample_bon,6,False,,9.0,0.0,9.0,11.0,20.0,-47938.169842878546,2727.231856990162,304.1310357208422,0.3,0.0,4.0
InvertedPendulum-v5,0,1,8,thompson_bon,6,False,,9.0,0.0,9.0,11.0,20.0,-47938.169842878546,2727.231856990162,304.1310357208422,0.3,0.0,4.0
InvertedPendulum-v5,0,1,8,ucb_bon,6,False,,9.0,0.0,9.0,11.0,20.0,-47938.169842878546,2727.231856990162,304.1310357208422,0.3,0.0,4.0
InvertedPendulum-v5,0,1,8,pessimistic_bon,6,False,,9.0,0.0,9.0,11.0,20.0,-47938.169842878546,2727.231856990162,304.1310357208422,0.3,0.0,4.0
InvertedPendulum-v5,0,1,8,quantile_bon,6,False,,9.0,0.0,9.0,11.0,20.0,-47938.169842878546,2727.231856990162,304.1310357208422,0.3,0.0,4.0
InvertedPendulum-v5,0,1,8,calibrated_pessimistic_bon,6,False,,9.0,0.0,9.0,11.0,20.0,-47938.169842878546,2727.231856990162,304.1310357208422,0.3,0.0,4.0
InvertedPendulum-v5,0,1,8,validation_gated_bon,6,False,calibrated_pessimistic_bon,9.0,0.0,9.0,11.0,20.0,-47938.169842878546,2727.231856990162,304.1310357208422,0.3,0.0,4.0
InvertedPendulum-v5,0,1,8,cem_mean_mpc,-1,False,,10.0,-1.0,9.0,10.0,20.0,-73.99682484842155,44.67665944298837,45.13478666025372,0.45,1.0,4.0
InvertedPendulum-v5,0,1,32,random,23,False,,4.0,16.0,20.0,16.0,20.0,-67584.78727833062,3255.1825708715646,1758.3852525322145,0.25,0.0,4.0
InvertedPendulum-v5,0,1,32,oracle,14,True,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,32,mean_bon,14,False,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,32,posterior_sample_bon,14,False,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,32,thompson_bon,14,False,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,32,ucb_bon,14,False,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,32,pessimistic_bon,14,False,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
